19960320,6.5388,11.5388
19960321,6.2969,11.2969
19960322,6.32,11.32
19960325,6.2419,11.2419
19960326,6.4219,11.4219
19960327,6.4062,11.4062
19960328,6.3906,11.3906
19960329,6.445,11.445
19960401,6.4219,11.4219
19960402,6.5388,11.5388
19960403,6.5312,11.5312
19960404,6.5231,11.5231
19960408,6.4844,11.4844
19960409,6.3513,11.3513
19960410,6.3513,11.3513
19960411,6.32,11.32
19960412,6.32,11.32
19960415,6.47,11.47
19960416,6.5781,11.5781
19960417,6.6213,11.6213
19960418,6.8125,11.8125
19960419,6.8594,11.8594
19960422,7.0469,12.0469
19960423,7.0388,12.0388
19960424,6.9688,11.9688
19960425,7.0469,12.0469
19960426,7.0938,12.0938
19960429,7.0388,12.0388
19960430,7.0781,12.0781
19960501,7.195,12.195
19960502,6.9763,11.9763
19960503,6.9294,11.9294
19960506,6.9844,11.9844
19960507,7.07,12.07
19960508,7.1406,12.1406
19960509,7.0938,12.0938
19960510,7.1794,12.1794
19960513,7.4138,12.4138
19960514,7.4375,12.4375
19960515,7.3513,12.3513
19960516,7.32,12.32
19960517,7.3125,12.3125
19960520,7.2969,12.2969
19960521,7.195,12.195
19960522,7.3044,12.3044
19960523,7.4062,12.4062
19960524,7.4062,12.4062
19960528,7.3281,12.3281
19960529,7.32,12.32
19960530,7.3906,12.3906
19960531,7.4219,12.4219
19960603,7.3981,12.3981
19960604,7.3669,12.3669
19960605,7.5544,12.5544
19960606,7.4881,12.4881
19960607,7.5781,12.5781
19960610,7.5388,12.5388
19960611,7.6325,12.6325
19960612,7.8125,12.8125
19960613,7.7888,12.7888
19960614,7.6875,12.6875
19960617,7.7888,12.7888
19960618,7.6481,12.6481
19960619,7.6094,12.6094
19960620,7.6094,12.6094
19960621,7.7419,12.7419
19960624,7.7575,12.7575
19960625,7.625,12.625
19960626,7.5312,12.5312
19960627,7.4963,12.4963
19960628,7.5075,12.5075
19960701,7.6444,12.6444
19960702,7.6013,12.6013
19960703,7.57,12.57
19960705,7.3981,12.3981
19960708,7.5194,12.5194
19960709,7.5,12.5
19960710,7.4688,12.4688
19960711,7.1562,12.1562
19960712,7.0231,12.0231
19960715,6.9138,11.9138
19960716,7.2106,12.2106
19960717,7.32,12.32
19960718,7.4919,12.4919
19960719,7.5613,12.5613
19960722,7.4844,12.4844
19960723,7.0075,12.0075
19960724,7.1719,12.1719
19960725,7.4062,12.4062
19960726,7.445,12.445
19960729,7.3044,12.3044
19960730,7.4138,12.4138
19960731,7.3669,12.3669
19960801,7.5388,12.5388
19960802,7.7106,12.7106
